,mean frequency,label
1044,3.0,1
1045,11.0,1
1046,5.5,1
1047,5.5,1
1048,12.0,1
1049,2.0,1
1050,4.5,1
1051,9.0,1
1052,9.0,1
1053,6.5,1
1054,1.5,1
1055,5.5,1
1056,10.5,1
1057,5.0,1
1058,4.5,1
1059,4.0,1
1060,4.0,1
1061,7.5,1
1062,9.0,1
1063,8.5,1
1064,2.5,1
1065,4.0,1
1066,3.5,1
1067,0.5,1
1068,6.5,1
1069,7.0,1
1070,0.5,1
1071,2.0,1
1072,3.5,1
1073,9.5,1
1074,6.5,1
1075,4.5,1
1076,8.5,1
1077,3.5,1
1078,4.5,1
1079,4.0,1
1080,6.5,1
1081,8.5,1
1082,7.0,1
1083,11.5,1
1084,17.0,1
1085,1.5,1
1086,7.0,1
1087,10.0,1
1088,4.5,1
1089,3.0,1
1090,4.5,1
1091,10.0,1
1092,8.5,1
1093,13.5,1
1094,6.0,1
1095,8.0,1
1096,11.5,1
1097,8.0,1
1098,6.5,1
1099,2.5,1
1100,9.0,1
1101,2.5,1
1102,7.5,1
1103,4.0,1
1104,3.0,1
1105,9.0,1
1106,1.0,1
1107,5.5,1
1108,6.0,1
1109,6.5,1
1110,3.5,1
1111,5.0,1
1112,1.5,1
1113,7.5,1
1114,12.0,1
1115,16.5,1
1116,3.5,1
1117,7.5,1
1118,3.0,1
1119,1.5,1
1120,7.5,1
1121,4.0,1
1122,1.0,1
1123,8.5,1
1124,8.5,1
1125,1.5,1
1126,3.5,1
1127,5.5,1
1128,2.5,1
1129,9.5,1
1130,6.5,1
1131,3.5,1
1132,0.5,1
1133,7.0,1
1134,10.5,1
1135,2.0,1
1136,9.5,1
1137,1.5,1
1138,8.0,1
1139,9.0,1
1140,3.5,1
1141,6.0,1
1142,6.5,1
1143,9.0,1
1144,8.5,1
1145,9.0,1
1146,5.5,1
1147,1.0,1
1148,9.0,1
1149,5.5,1
1150,2.0,1
1151,4.5,1
1152,2.5,1
1153,10.0,1
1154,7.0,1
1155,10.5,1
1156,4.5,1
1157,5.5,1
1158,7.0,1
1159,9.0,1
1160,9.0,1
1161,12.5,1
1162,4.0,1
1163,9.5,1
1164,1.0,1
1165,3.0,1
1166,7.0,1
1167,6.5,1
1168,3.5,1
1169,6.5,1
1170,10.5,1
1171,5.5,1
1172,0.5,1
1173,9.0,1
1174,10.5,1
1175,5.0,1
1176,10.5,1
1177,3.0,1
1178,6.5,1
1179,8.5,1
1180,5.5,1
1181,6.5,1
1182,1.0,1
1183,2.5,1
1184,5.5,1
1185,10.0,1
1186,3.0,1
1187,16.5,1
1188,7.5,1
1189,7.0,1
1190,12.5,1
1191,4.5,1
1192,2.5,1
1193,6.5,1
1194,4.5,1
1195,14.5,1
1196,5.5,1
1197,6.5,1
1198,1.5,1
1199,3.0,1
1200,6.5,1
1201,3.0,1
1202,9.5,1
1203,10.5,1
1204,3.5,1
1205,7.5,1
1206,1.0,1
1207,5.5,1
1208,3.0,1
1209,1.5,1
1210,10.5,1
1211,3.5,1
1212,1.5,1
1213,3.5,1
1214,4.0,1
1215,5.0,1
1216,9.5,1
1217,6.0,1
1218,3.5,1
1219,4.5,1
1220,2.5,1
1221,3.5,1
1222,8.0,1
1223,1.5,1
1224,1.0,1
1225,7.5,1
1226,9.0,1
1227,5.5,1
1228,1.5,1
1229,8.0,1
1230,4.5,1
1231,10.5,1
1232,11.5,1
1233,7.0,1
1234,3.5,1
1235,6.5,1
1236,2.5,1
1237,10.0,1
1238,1.0,1
1239,17.0,1
1240,14.5,1
1241,11.0,1
1242,4.5,1
1243,7.5,1
1244,4.5,1
1245,6.5,1
1246,3.0,1
1247,9.0,1
1248,3.5,1
1249,1.5,1
1250,9.0,1
1251,6.5,1
1252,5.5,1
1253,8.0,1
1254,5.5,1
1255,10.5,1
1256,4.0,1
1257,2.5,1
1258,7.5,1
1259,5.5,1
1260,8.5,1
1261,9.0,1
1262,9.0,1
1263,7.5,1
1264,9.5,1
1265,2.5,1
1266,2.5,1
1267,9.0,1
1268,10.5,1
1269,3.5,1
1270,0.5,1
1271,6.5,1
1272,7.5,1
1273,4.5,1
1274,3.0,1
1275,4.0,1
1276,5.5,1
1277,7.5,1
1278,3.5,1
1279,6.0,1
1280,3.5,1
1281,6.0,1
1282,10.5,1
1283,10.5,1
1284,9.0,1
1285,9.5,1
1286,4.5,1
1287,8.0,1
1288,1.5,1
1289,1.0,1
1290,6.5,1
1291,3.5,1
1292,9.5,1
1293,5.0,1
1294,9.0,1
1295,3.0,1
1296,3.5,1
1297,4.5,1
1298,4.5,1
1299,12.5,1
1300,10.0,1
1301,6.0,1
1302,4.5,1
1303,6.5,1
1304,7.5,1
1305,8.0,1
1306,4.5,1
1307,3.5,1
1308,3.5,1
1309,6.5,1
1310,15.5,1
1311,17.0,1
1312,2.5,1
1313,2.5,1
1314,6.0,1
1315,2.5,1
1316,6.5,1
1317,3.5,1
1318,5.5,1
1319,6.5,1
1320,7.5,1
1321,9.5,1
1322,1.0,1
1323,7.5,1
1324,5.5,1
1325,1.0,1
1326,1.0,1
1327,8.0,1
1328,1.5,1
1329,6.0,1
1330,3.5,1
1331,6.0,1
1332,6.5,1
1333,5.5,1
1334,2.0,1
1335,5.5,1
1336,9.0,1
1337,3.5,1
1338,9.0,1
1339,10.5,1
1340,16.0,1
1341,2.5,1
1342,3.0,1
1343,2.0,1
1344,3.0,1
1345,1.0,1
1346,1.5,1
1347,6.5,1
1348,1.5,1
1349,5.5,1
1350,8.5,1
1351,9.0,1
1352,9.0,1
1353,1.5,1
1354,11.5,1
1355,17.0,1
1356,5.0,1
1357,10.5,1
1358,11.0,1
1359,2.5,1
1360,8.0,1
1361,6.0,1
1362,7.5,1
1363,6.0,1
1364,0.5,1
1365,1.5,1
1366,7.5,1
1367,7.5,1
1368,1.0,1
1369,6.0,1
1370,3.0,1
1371,6.5,1
1372,2.5,1
1373,4.5,1
1374,8.0,1
1375,4.5,1
1376,6.0,1
1377,14.0,1
1378,9.5,1
1379,8.5,1
1380,5.5,1
1381,7.0,1
1382,2.5,1
1383,5.5,1
1384,1.5,1
1385,3.5,1
1386,3.5,1
1387,1.5,1
1388,4.5,1
1389,9.0,1
1390,10.0,1
1391,6.0,1
1392,1.5,1
1393,6.0,1
1394,8.0,1
1395,3.5,1
1396,5.5,1
1397,1.0,1
1398,9.5,1
1399,7.5,1
1400,9.5,1
1401,8.5,1
1402,4.5,1
1403,6.0,1
1404,6.5,1
1405,0.5,1
1406,8.5,1
1407,10.5,1
1408,6.0,1
1409,9.5,1
1410,7.5,1
1411,4.5,1
1412,7.5,1
1413,3.0,1
1414,1.5,1
1415,1.5,1
1416,9.5,1
1417,9.5,1
1418,10.0,1
1419,3.5,1
1420,5.5,1
1421,1.5,1
1422,4.0,1
1423,7.0,1
1424,10.0,1
1425,7.5,1
1426,1.5,1
1427,4.5,1
1428,7.0,1
1429,9.0,1
1430,6.5,1
1431,4.0,1
1432,1.0,1
1433,10.5,1
1434,0.5,1
